2026-06-28 01:45:33,389 | WARNING | aiogram.dispatcher | Sleep for 1.836951 seconds and try again... (tryings = 2, bot id = 8587251551)
2026-06-28 01:45:43,583 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ServerDisconnectedError: Server disconnected
2026-06-28 01:45:43,583 | WARNING | aiogram.dispatcher | Sleep for 2.461107 seconds and try again... (tryings = 3, bot id = 8587251551)
2026-06-28 01:45:48,592 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ServerDisconnectedError: Server disconnected
2026-06-28 01:45:48,592 | WARNING | aiogram.dispatcher | Sleep for 3.221006 seconds and try again... (tryings = 4, bot id = 8587251551)
2026-06-28 01:46:02,109 | INFO | aiogram.dispatcher | Connection established (tryings = 5, bot id = 8587251551)
2026-06-28 01:46:02,510 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ServerDisconnectedError: Server disconnected
2026-06-28 01:46:02,510 | WARNING | aiogram.dispatcher | Sleep for 1.000000 seconds and try again... (tryings = 0, bot id = 8587251551)
2026-06-28 01:46:07,931 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ServerDisconnectedError: Server disconnected
2026-06-28 01:46:07,932 | WARNING | aiogram.dispatcher | Sleep for 1.208212 seconds and try again... (tryings = 1, bot id = 8587251551)
2026-06-28 01:46:15,659 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ServerDisconnectedError: Server disconnected
2026-06-28 01:46:15,660 | WARNING | aiogram.dispatcher | Sleep for 1.652546 seconds and try again... (tryings = 2, bot id = 8587251551)
2026-06-28 01:46:19,903 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ServerDisconnectedError: Server disconnected
2026-06-28 01:46:19,903 | WARNING | aiogram.dispatcher | Sleep for 2.305133 seconds and try again... (tryings = 3, bot id = 8587251551)
2026-06-28 01:46:28,574 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ServerDisconnectedError: Server disconnected
2026-06-28 01:46:28,574 | WARNING | aiogram.dispatcher | Sleep for 3.196190 seconds and try again... (tryings = 4, bot id = 8587251551)
2026-06-28 01:46:42,065 | INFO | aiogram.dispatcher | Connection established (tryings = 5, bot id = 8587251551)
2026-06-28 01:50:41,413 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ServerDisconnectedError: Server disconnected
2026-06-28 01:50:41,414 | WARNING | aiogram.dispatcher | Sleep for 1.000000 seconds and try again... (tryings = 0, bot id = 8587251551)
2026-06-28 01:50:49,452 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ServerDisconnectedError: Server disconnected
2026-06-28 01:50:49,452 | WARNING | aiogram.dispatcher | Sleep for 1.169004 seconds and try again... (tryings = 1, bot id = 8587251551)
2026-06-28 01:51:00,902 | INFO | aiogram.dispatcher | Connection established (tryings = 2, bot id = 8587251551)
2026-06-28 01:54:06,383 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ServerDisconnectedError: Server disconnected
2026-06-28 01:54:06,384 | WARNING | aiogram.dispatcher | Sleep for 1.000000 seconds and try again... (tryings = 0, bot id = 8587251551)
2026-06-28 01:54:14,180 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ServerDisconnectedError: Server disconnected
2026-06-28 01:54:14,180 | WARNING | aiogram.dispatcher | Sleep for 1.234330 seconds and try again... (tryings = 1, bot id = 8587251551)
2026-06-28 01:54:25,719 | INFO | aiogram.dispatcher | Connection established (tryings = 2, bot id = 8587251551)
2026-06-28 01:55:53,514 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ServerDisconnectedError: Server disconnected
2026-06-28 01:55:53,514 | WARNING | aiogram.dispatcher | Sleep for 1.000000 seconds and try again... (tryings = 0, bot id = 8587251551)
2026-06-28 01:56:01,228 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ServerDisconnectedError: Server disconnected
2026-06-28 01:56:01,229 | WARNING | aiogram.dispatcher | Sleep for 1.379100 seconds and try again... (tryings = 1, bot id = 8587251551)
2026-06-28 01:56:12,915 | INFO | aiogram.dispatcher | Connection established (tryings = 2, bot id = 8587251551)
2026-06-28 01:57:42,396 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ServerDisconnectedError: Server disconnected
2026-06-28 01:57:42,396 | WARNING | aiogram.dispatcher | Sleep for 1.000000 seconds and try again... (tryings = 0, bot id = 8587251551)
2026-06-28 01:57:51,690 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ServerDisconnectedError: Server disconnected
2026-06-28 01:57:51,691 | WARNING | aiogram.dispatcher | Sleep for 1.423140 seconds and try again... (tryings = 1, bot id = 8587251551)
2026-06-28 01:58:03,433 | INFO | aiogram.dispatcher | Connection established (tryings = 2, bot id = 8587251551)
2026-06-28 01:58:45,573 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ServerDisconnectedError: Server disconnected
2026-06-28 01:58:45,574 | WARNING | aiogram.dispatcher | Sleep for 1.000000 seconds and try again... (tryings = 0, bot id = 8587251551)
2026-06-28 01:58:52,864 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ServerDisconnectedError: Server disconnected
2026-06-28 01:58:52,865 | WARNING | aiogram.dispatcher | Sleep for 1.379076 seconds and try again... (tryings = 1, bot id = 8587251551)
2026-06-28 01:59:04,533 | INFO | aiogram.dispatcher | Connection established (tryings = 2, bot id = 8587251551)
2026-06-28 01:59:11,548 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ServerDisconnectedError: Server disconnected
2026-06-28 01:59:11,548 | WARNING | aiogram.dispatcher | Sleep for 1.000000 seconds and try again... (tryings = 0, bot id = 8587251551)
2026-06-28 01:59:21,444 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ServerDisconnectedError: Server disconnected
2026-06-28 01:59:21,445 | WARNING | aiogram.dispatcher | Sleep for 1.131927 seconds and try again... (tryings = 1, bot id = 8587251551)
2026-06-28 01:59:23,751 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ServerDisconnectedError: Server disconnected
2026-06-28 01:59:23,751 | WARNING | aiogram.dispatcher | Sleep for 1.610678 seconds and try again... (tryings = 2, bot id = 8587251551)
2026-06-28 01:59:33,008 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ServerDisconnectedError: Server disconnected
2026-06-28 01:59:33,008 | WARNING | aiogram.dispatcher | Sleep for 2.191216 seconds and try again... (tryings = 3, bot id = 8587251551)
2026-06-28 01:59:45,487 | INFO | aiogram.dispatcher | Connection established (tryings = 4, bot id = 8587251551)
2026-06-28 02:07:21,665 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ServerDisconnectedError: Server disconnected
2026-06-28 02:07:21,665 | WARNING | aiogram.dispatcher | Sleep for 1.000000 seconds and try again... (tryings = 0, bot id = 8587251551)
2026-06-28 02:07:31,702 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ServerDisconnectedError: Server disconnected
2026-06-28 02:07:31,703 | WARNING | aiogram.dispatcher | Sleep for 1.376202 seconds and try again... (tryings = 1, bot id = 8587251551)
2026-06-28 02:07:43,387 | INFO | aiogram.dispatcher | Connection established (tryings = 2, bot id = 8587251551)
2026-06-28 02:08:18,686 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ServerDisconnectedError: Server disconnected
2026-06-28 02:08:18,686 | WARNING | aiogram.dispatcher | Sleep for 1.000000 seconds and try again... (tryings = 0, bot id = 8587251551)
2026-06-28 02:08:27,366 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ServerDisconnectedError: Server disconnected
2026-06-28 02:08:27,366 | WARNING | aiogram.dispatcher | Sleep for 1.155201 seconds and try again... (tryings = 1, bot id = 8587251551)
2026-06-28 02:08:38,813 | INFO | aiogram.dispatcher | Connection established (tryings = 2, bot id = 8587251551)
2026-06-28 02:17:26,978 | INFO | root | Checking Telegram connection...
2026-06-28 02:17:27,264 | INFO | root | Bot connected as @ru_voice_whisper_bot
2026-06-28 02:17:27,338 | INFO | root | Polling started. Press Ctrl+C to stop.
